id,plot_id,image_path,comments,insert_user,insert_time,update_user,update_time
410,2967,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-42-04/IMG_3711.JPG.info,NA,na.margret,2022-11-21T14:04:00Z,NA,NA
411,2967,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-42-04/IMG_3722.JPG.info,NA,na.margret,2022-11-21T14:04:17Z,NA,NA
412,2967,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-42-04/IMG_3728.JPG.info,NA,na.margret,2022-11-21T14:04:21Z,NA,NA
413,2968,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-24-03/IMG_3681.JPG.info,NA,na.margret,2022-11-21T15:50:00Z,NA,NA
414,2968,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-24-03/IMG_3682.JPG.info,NA,na.margret,2022-11-21T15:50:30Z,NA,NA
415,2968,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-24-03/IMG_3683.JPG.info,NA,na.margret,2022-11-21T15:50:30Z,NA,NA
416,2968,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-24-03/IMG_3684.JPG.info,NA,na.margret,2022-11-21T15:50:38Z,NA,NA
417,2968,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-24-03/IMG_3685.JPG.info,NA,na.margret,2022-11-21T15:50:42Z,NA,NA
418,2968,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-24-03/IMG_3686.JPG.info,NA,na.margret,2022-11-21T15:50:55Z,NA,NA
419,2968,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-24-03/IMG_3687.JPG.info,NA,na.margret,2022-11-21T15:50:59Z,NA,NA
420,2982,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Fagridalur/FV01-1/IMG_4188.JPG.info,NA,na.margret,2022-12-06T14:43:01Z,NA,NA
421,2982,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Fagridalur/FV01-1/IMG_4189.JPG.info,NA,na.margret,2022-12-06T14:43:05Z,NA,NA
422,2982,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Fagridalur/FV01-1/IMG_4190.JPG.info,NA,na.margret,2022-12-06T14:43:07Z,NA,NA
423,2982,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Fagridalur/FV01-1/IMG_4192.JPG.info,NA,na.margret,2022-12-06T14:43:19Z,NA,NA
424,2982,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Fagridalur/FV01-1/IMG_4193.JPG.info,NA,na.margret,2022-12-06T14:43:31Z,NA,NA
425,2982,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Fagridalur/FV01-1/IMG_4194.JPG.info,NA,na.margret,2022-12-06T14:43:37Z,NA,NA
426,2982,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Fagridalur/FV01-1/IMG_4195.JPG.info,NA,na.margret,2022-12-06T14:43:47Z,NA,NA
427,2982,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Fagridalur/FV01-1/IMG_4196.JPG.info,NA,na.margret,2022-12-06T14:43:49Z,NA,NA
428,2982,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Fagridalur/FV01-1/IMG_4197.JPG.info,NA,na.margret,2022-12-06T14:43:52Z,NA,NA
429,2982,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Fagridalur/FV01-1/IMG_4198.JPG.info,NA,na.margret,2022-12-06T14:43:55Z,NA,NA
430,2983,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Kringilsárrani/U16/IMG_4216.JPG.info,NA,na.margret,2022-12-09T14:22:10Z,NA,NA
431,2983,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Kringilsárrani/U16/IMG_4217.JPG.info,NA,na.margret,2022-12-09T14:24:33Z,NA,NA
432,2983,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Kringilsárrani/U16/IMG_4218.JPG.info,NA,na.margret,2022-12-09T14:24:40Z,NA,NA
433,2983,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Kringilsárrani/U16/IMG_4219.JPG.info,NA,na.margret,2022-12-09T14:24:41Z,NA,NA
434,2983,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Kringilsárrani/U16/IMG_4220.JPG.info,NA,na.margret,2022-12-09T14:24:46Z,NA,NA
435,2983,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Kringilsárrani/U16/IMG_4221.JPG.info,NA,na.margret,2022-12-09T14:24:51Z,NA,NA
436,2983,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Kringilsárrani/U16/IMG_4222.JPG.info,NA,na.margret,2022-12-09T14:24:56Z,NA,NA
437,2983,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Kringilsárrani/U16/IMG_4223.JPG.info,NA,na.margret,2022-12-09T14:24:58Z,NA,NA
